"MSOA11CD","MSOA11NM","Year","HousingIndex"
"E02000002","Barking and Dagenham 001",2001,0.91051132277308
"E02000003","Barking and Dagenham 002",2001,1.49475699596725
"E02000004","Barking and Dagenham 003",2001,2.48100589949277
"E02000005","Barking and Dagenham 004",2001,1.11794644632216
"E02000007","Barking and Dagenham 006",2001,0.0174832302034102
"E02000008","Barking and Dagenham 007",2001,-0.187051710939463
"E02000009","Barking and Dagenham 008",2001,0.829989336188608
"E02000010","Barking and Dagenham 009",2001,0.62287072708063
"E02000011","Barking and Dagenham 010",2001,2.57292573691692
"E02000012","Barking and Dagenham 011",2001,1.73549811475859
"E02000013","Barking and Dagenham 012",2001,0.554453119919979
"E02000014","Barking and Dagenham 013",2001,0.318060467612967
"E02000015","Barking and Dagenham 014",2001,0.207494118494932
"E02000016","Barking and Dagenham 015",2001,-0.459382410925865
"E02000017","Barking and Dagenham 016",2001,1.60703224605725
"E02000018","Barking and Dagenham 017",2001,0.332021476064939
"E02000019","Barking and Dagenham 018",2001,0.771036320058672
"E02000020","Barking and Dagenham 019",2001,0.301912253022529
"E02000021","Barking and Dagenham 020",2001,1.82324113034023
"E02000022","Barking and Dagenham 021",2001,-1.55545404282887
"E02000023","Barking and Dagenham 022",2001,0.0239529204001039
"E02006799","Barking and Dagenham 023",2001,0.481376601618289
"E02000002","Barking and Dagenham 001",2003,0.809832022012004
"E02000003","Barking and Dagenham 002",2003,1.3208146017126
"E02000004","Barking and Dagenham 003",2003,2.37867024756255
"E02000005","Barking and Dagenham 004",2003,0.982027675873421
"E02000007","Barking and Dagenham 006",2003,-0.0831508045233105
"E02000008","Barking and Dagenham 007",2003,-0.319617721079044
"E02000009","Barking and Dagenham 008",2003,0.684667080524186
"E02000010","Barking and Dagenham 009",2003,0.483108315726204
"E02000011","Barking and Dagenham 010",2003,2.38950382663363
"E02000012","Barking and Dagenham 011",2003,1.56490079044045
"E02000013","Barking and Dagenham 012",2003,0.439711519401598
"E02000014","Barking and Dagenham 013",2003,0.164194257045558
"E02000015","Barking and Dagenham 014",2003,0.0501545175481729
"E02000016","Barking and Dagenham 015",2003,-0.619804953716732
"E02000017","Barking and Dagenham 016",2003,1.38638476692144
"E02000018","Barking and Dagenham 017",2003,0.157325098189304
"E02000019","Barking and Dagenham 018",2003,0.63124066892893
"E02000020","Barking and Dagenham 019",2003,0.155307014303646
"E02000021","Barking and Dagenham 020",2003,1.56188179592484
"E02000022","Barking and Dagenham 021",2003,-1.5861252822014
"E02000023","Barking and Dagenham 022",2003,-0.0663675397317575
"E02006799","Barking and Dagenham 023",2003,0.326465429160895
"E02000002","Barking and Dagenham 001",2005,0.578141858073454
"E02000003","Barking and Dagenham 002",2005,0.952395372229254
"E02000004","Barking and Dagenham 003",2005,2.15683300506231
"E02000005","Barking and Dagenham 004",2005,0.680414955991695
"E02000007","Barking and Dagenham 006",2005,-0.353923347582021
"E02000008","Barking and Dagenham 007",2005,-0.676239202962939
"E02000009","Barking and Dagenham 008",2005,0.37689210396884
"E02000010","Barking and Dagenham 009",2005,0.176623301569151
"E02000011","Barking and Dagenham 010",2005,2.08648328300959
"E02000012","Barking and Dagenham 011",2005,1.20287377389423
"E02000013","Barking and Dagenham 012",2005,0.162381338113283
"E02000014","Barking and Dagenham 013",2005,-0.171669088435889
"E02000015","Barking and Dagenham 014",2005,-0.253489887241614
"E02000016","Barking and Dagenham 015",2005,-0.928725466968911
"E02000017","Barking and Dagenham 016",2005,1.00128548581787
"E02000018","Barking and Dagenham 017",2005,-0.189431234878586
"E02000019","Barking and Dagenham 018",2005,0.331301914851412
"E02000020","Barking and Dagenham 019",2005,-0.170849881507117
"E02000021","Barking and Dagenham 020",2005,1.14759934070328
"E02000022","Barking and Dagenham 021",2005,-1.7866633101479
"E02000023","Barking and Dagenham 022",2005,-0.28201215667687
"E02006799","Barking and Dagenham 023",2005,-0.0173135063775496
"E02000002","Barking and Dagenham 001",2007,0.445360267133875
